  0:   65| [45] [――夏彦は、風見の記憶を読み進めた。]
530: 5455| [47] [被験体Ｎ]
531: 5458| [45] [《犯人は、この人だったんだよ》]
532: 5463| [47] [風見]
533: 5464| [45] [（……！）]
534: 5469| [47] [被験体Ｎ]
535: 5472| [45] [《ねぇ、この事実に気付いているのは、あなただけだよね……？》]
536: 5496| [47] [被験体Ｎ]
537: 5499| [45] [《彼をここで裁いてしまえば、罪は明るみに出ないよ》]
538: 5504| [47] [被験体Ｎ]
539: 5507| [45] [《この人はレスキュー隊長笠鷺渡瀬として、ここで死ぬべきなんじゃ……？》]
540: 5512| [45] [その言葉は、風見の心の一番深いところまで届いた。]
541: 5517| [47] [風見]
542: 5518| [45] [（そうだわ……）]
543: 5523| [47] [風見]
544: 5524| [45] [（彼の名誉を護るためにも、いっそ私が――！）]
545: 5529| [45] [そう思った瞬間、風見の心は――]
546: 5534| [45] [悪意の闇に沈んだ。]
547: 5633| [45] [――同時に、風見の記憶の中で流れていた時間が、停止した。]
548: 5638| [45] [それからは彼女の支離滅裂な思考が、断片的に伝わってくる。]
549: 5692| [47] [風見]
550: 5695| [45] [「あなたは道を違えてしまった……」]
551: 5751| [47] [風見]
552: 5754| [45] [「私にはもう、こうするしか……できる事がないの……」]
553: 5810| [47] [風見]
554: 5813| [45] [「開けなさい渡瀬ぇえええッ！！」]
555: 5869| [45] [怒り、悲しみ、殺意、その他のありとあらゆる負の感情。]
556: 5874| [45] [壮絶な悪意の渦の中、夏彦は呆然と佇んでいた。]
557: 5879| [47] [夏彦]
558: 5880| [45] [（ど……どうすればいいんだ！？）]
559: 5885| [47] [夏彦]
560: 5886| [45] [（どうすれば橘さんを救えるんだ！？）]
561: 5936| [47] [悠里]
562: 5939| [45] [《ひこりん、慌てちゃダメ！》]
563: 5963| [47] [悠里]
564: 5966| [45] [《副隊長さんがこんな状態になったのは、Ｎちゃんの魂が、どこかにあるからだよ！》]
565: 5971| [47] [悠里]
566: 5974| [45] [《この人は他の人より強く、悪意に感染しちゃっただけ！》]
567: 5998| [47] [悠里]
568: 6001| [45] [《なんとかＮちゃんを探して、消去しよう！》]
569: 6006| [47] [夏彦]
570: 6007| [45] [（あ、ああ！　それじゃさらに記憶を探って――）]
571: 6012| [45] [夏彦がそう思った時。]
572: 6017| [45] [頭の中に――]
573: 6075| [85] [《やめて下さい》]
574: 6076| [86] [風見]
575: 6077| [86] [《やめて下さい》]
576: 6139| [45] [彼女の声が響いた。]
577: 6144| [47] [夏彦]
578: 6145| [45] [（ッ！？）]
579: 6150| [45] [それは、被験体Ｎの声ではなかった。]
580: 6155| [45] [今、夏彦が心を繋いでいた相手――]
581: 6160| [47] [夏彦]
582: 6161| [45] [（橘さんの声！？）]
583: 6191| [47] [悠里]
584: 6194| [45] [《ど……どうして！？》]
585: 6199| [45] [センシズシンパシーの使用中に、相手が逆に話しかけてくることなど、今までには１度もなかった。]
586: 6204| [45] [だがそれだけではない。さらに奇妙な現象が続く。]
587: 6557| [47] [夏彦]
588: 6558| [45] [（――なんだ！？）]
589: 6563| [45] [夏彦の脳裏に、今まで見聞きしたものが明滅したのだ。]
590: 6892| [45] [その現象には覚えがあった。]
591: 7220| [45] [今朝ラボを訪れた直後、悠里に記憶を読まれた時に発生した、高速のフラッシュバック。]
592: 7270| [47] [夏彦]
593: 7271| [45] [（どうしてぼくの記憶が――！？）]
594: 7276| [45] [何が起きているかまるでわからない。]
595: 7281| [45] [愕然とする夏彦に、風見が続ける。]
596: 7316| [47] [風見]
597: 7319| [45] [《……そういう事だったんですね》]
598: 7324| [47] [夏彦]
599: 7325| [45] [（……！）]
600: 7330| [45] [それはあの時の悠里の言葉と同じだった。]
601: 7335| [45] [強烈な不安が、夏彦を襲う。]
602: 7359| [47] [風見]
603: 7362| [45] [《天川くん、あなたあの子を消すつもりだったんですね……！？》]
604: 7367| [47] [風見]
605: 7370| [45] [《でもそれは、あの子を殺すのと同じですよ》]
606: 7394| [47] [風見]
607: 7397| [45] [《あなたに、そんな権利があるのですか……？》]
608: 7402| [47] [風見]
609: 7405| [45] [《答えてください、天川くん！》]
610: 7461| [45] [その声と共に、凄まじい悪意が押し寄せて来た！]
611: 7517| [47] [夏彦]
612: 7518| [45] [（ッ！！）]
613: 7574| [45] [たちまちのうちに、夏彦の心が侵食されていく。]
614: 7630| [47] [夏彦]
615: 7631| [45] [（あ、あ、あ……）]
616: 7684| [45] [そして夏彦は、身の危険を感じ――]
617: 7689| [47] [夏彦]
618: 7690| [45] [（あああああああああッ！！）]
619: 7695| [45] [風見との心の繋がりを、切断した。]
