  0:  126| [55] [√Before Chapter 6]
513: 5846| [45] ["Someone both you and Salyu know."]
514: 5872| [47] [Salyu]
515: 5875| [45] ["...?"]
516: 5901| [47] [Mashiro]
517: 5904| [45] ["... Ah!"]
518: 5909| [45] [It seemed to finally click for Mashiro when he said that.]
519: 5917| [47] [Natsuhiko]
520: 5920| [45] ["Yeah, when you've been cornered... I guess it really is a hero that you need."]
521: 5925| [45] [And with that, the kids left the school.]
522: 5989| [45] [As they boarded the taxi, the driver asked them,]
523: 5994| [47] [Driver]
524: 5997| [45] ["Where are you headed next?"]
525: 6005| [47] [Natsuhiko]
526: 6008| [45] ["The fire station."]
527: 6013| [45] [The driver nodded and began to input their next destination.]
