  0:   60| [45] [――少女２名を、崩壊した団地から救った後――]
464: 3972| [45] [「原因の一翼を担うＡは、ラボ内で人体実験に使われ――そして幽閉後、わずか１年で死亡した」]
465: 3980| [47] [？？]
466: 3983| [45] [「恐らく無残な死に方をしたのだろう。Ａもしょせんは、鹿鳴市による悪事の被害者に過ぎないのさ」]
467: 3991| [47] [渡瀬]
468: 3994| [45] [「……っ」]
469: 3999| [45] [渡瀬の体を、虚無感が満たす。]
470: 4004| [45] [憎悪の矛先は即座に失われ――そして別の対象に向けられた。]
471: 4012| [47] [渡瀬]
472: 4015| [45] [「その後、鹿鳴市は……どうしたんだ？」]
473: 4023| [47] [渡瀬]
474: 4026| [45] [「Ａが死に、貴重な被験体を失ったラボは、それからどうしてるんだ？」]
475: 4064| [47] [？？]
476: 4067| [45] [「新たな被験体を拉致しては、ＢＣの研究を続けているよ」]
477: 4072| [45] [その時、また花の香りがした。]
478: 4080| [47] [？？]
479: 4083| [45] [「この街に住むコミュニケーターたち――その中で特に優れた能力を持つ者は、ラボに幽閉され、被験体にされるのさ」]
480: 4091| [47] [？？]
481: 4094| [45] [「そしてＡのような怪物が、１人、また１人と増えていっている」]
482: 4102| [47] [渡瀬]
483: 4105| [45] [「なんのために、そんな事を！？」]
484: 4113| [47] [？？]
485: 4116| [45] [「目的の１つは、当然ながらＢＣの研究のためだ」]
486: 4124| [47] [？？]
487: 4127| [45] [「そしてもう１つは……一種の生物兵器を作るためさ」]
488: 4135| [47] [渡瀬]
489: 4138| [45] [「生物兵器……だと！？」]
490: 4146| [47] [？？]
491: 4149| [45] [「Ａの事例は単なる事故だが、別の視点から見ると怪物化したコミュニケーターは、面白い使い方ができる」]
492: 4157| [47] [？？]
493: 4160| [45] [「例えば、敵国の首都に、怪物化したコミュニケーターを１人送り込む」]
494: 4168| [47] [？？]
495: 4171| [45] [「するとどうなると思う？」]
496: 4179| [47] [渡瀬]
497: 4182| [45] [「その都市の住人は悪意を増幅され……治安は悪化し、街は荒廃する……？」]
498: 4190| [47] [？？]
499: 4193| [45] [「そういう事だ。かつて鹿鳴市で起きた事を、任意に起こせるようになるんだよ」]
500: 4201| [47] [？？]
501: 4204| [45] [「数日もそのまま放置しておけば、街中で放火や犯罪行為が蔓延し、犯罪者は跋扈し、治安は回復不能になるだろう」]
502: 4212| [47] [？？]
503: 4215| [45] [「だが攻撃された側は、攻撃を受けた事にも気付かない」]
504: 4223| [47] [？？]
505: 4226| [45] [「なにしろこの生物兵器のキモは、『人の心』を荒廃させるってところにあるからね」]
506: 4234| [47] [？？]
507: 4237| [45] [「国土にはダメージを与えず、国民にのみダメージを与える。まさに新時代の兵器さ」]
508: 4245| [47] [渡瀬]
509: 4248| [45] [「しかし、鹿鳴市はたかだか地方自治体じゃないか！？　なんでそんなマネを！？」]
510: 4256| [47] [？？]
511: 4259| [45] [「実は鹿鳴市と懇意にしている、とある外資系企業があってね」]
512: 4267| [47] [？？]
513: 4270| [45] [「表向きは製薬会社だが、その内実は武器商社。いわゆる死の商人だ」]
514: 4278| [47] [？？]
515: 4281| [45] [「おおかたそこから依頼を受け、そんな禍々しい研究を行っているのだろう」]
516: 4289| [47] [？？]
517: 4292| [45] [「……だが誰もその事に気付かない。語る者も、暴く者もいない」]
518: 4300| [47] [？？]
519: 4303| [45] [「真実は闇から闇に消え、隠蔽は永遠に続く」]
520: 4311| [47] [渡瀬]
521: 4314| [45] [「……そうか……」]
522: 4322| [47] [渡瀬]
523: 4325| [45] [「鹿鳴市は……」]
524: 4333| [47] [渡瀬]
525: 4336| [45] [「亘たちの仇を、また作ろうとしてるのか……！」]
526: 4371| [45] [渡瀬の中で、憤怒の炎が燃え始めた。]
527: 4376| [45] [その真っ黒な熱を腹の奥に押し込めながら、渡瀬は問う。]
528: 4384| [47] [渡瀬]
529: 4387| [45] [「なぁ、あんた……俺にこんな事を知らせて、どうするってんだ」]
530: 4395| [47] [渡瀬]
531: 4398| [45] [「俺に何をさせたいんだ……？」]
532: 4406| [47] [？？]
533: 4409| [45] [「逆に聞こう。君はどうしたいのかね？」]
534: 4432| [47] [渡瀬]
535: 4435| [45] [「……っ」]
536: 4443| [47] [？？]
537: 4446| [45] [「笠鷺渡瀬、君の心に聞こう。真実を知った今、偽りの安寧の中に戻れるか？」]
538: 4454| [47] [？？]
539: 4457| [45] [「聞かせてくれ、君の本当の気持ちを」]
540: 4525| [45] [その言葉に、渡瀬の胸がどくんと脈動した。]
541: 4530| [47] [渡瀬]
542: 4531| [45] [（この真実を知ってしまった以上、俺はニコニコといつも通りの生活ができるのか……！？）]
543: 4589| [45] [姉を殺され、両親を殺され、人生を捻じ曲げられ――]
544: 4594| [45] [そのうえ真実を隠され、嘘の中で１５年間生かされてきたのだ。]
545: 4646| [45] [渡瀬は姉の夢を追うことで、犯人への憎悪を、心の隅に押しやっていた。]
546: 4651| [45] [だが、本当はずっと思っていたのだ。]
547: 4669| [47] [渡瀬]
548: 4672| [45] [「……俺は……」]
549: 4680| [47] [渡瀬]
550: 4683| [45] [「……犯人を、亘と同じ目にあわせてやりたかった」]
551: 4691| [47] [？？]
552: 4694| [45] [「亘とは、確か君のお姉さんだったね」]
553: 4702| [47] [渡瀬]
554: 4705| [45] [「……あぁ」]
555: 4788| [47] [渡瀬]
556: 4791| [45] [「あいつは……本当にいい奴だったんだ……」]
557: 4799| [47] [渡瀬]
558: 4802| [45] [「弱っちいけど一生懸命で、バカだけど優しくて……！」]
559: 4818| [45] [そう口にした瞬間、渡瀬の目に涙が溢れ出た。]
560: 4823| [45] [――渡瀬は亘が大好きだった。]
561: 4828| [45] [彼女の命を奪った犯人が、心の底から憎かったのだ。]
562: 4833| [45] [だがその犯人は、鹿鳴市によって存在ごと隠蔽されたという。]
563: 4838| [45] [叶うならばＡを八つ裂きにしたかったが、それももうできない。]
564: 4843| [45] [ならば渡瀬の憎悪と怒りは、鹿鳴市に向けるしか――]
565: 4851| [47] [渡瀬]
566: 4854| [45] [「……なぁ……」]
567: 4862| [47] [渡瀬]
568: 4865| [45] [「復讐を望むのは……恥ずべきことか……？」]
569: 4870| [47] [？？]
570: 4871| [45] [「……」]
571: 4879| [47] [渡瀬]
572: 4882| [45] [「……人の命を救う仕事をしている俺が……そんな事を望んでもいいのか？」]
573: 4890| [47] [渡瀬]
574: 4893| [45] [「俺は、鹿鳴市の連中を憎んでもいいのか？」]
575: 4901| [47] [？？]
576: 4904| [45] [「もちろんだ」]
577: 4909| [45] [渡瀬の問いに、男ははっきりと答えた。]
578: 4917| [47] [？？]
579: 4920| [45] [「家族の仇を憎む……それは人間として自然な事だ」]
580: 4928| [47] [？？]
581: 4931| [45] [「そして、その気持ちがあるのであれば――」]
582: 4939| [47] [？？]
583: 4942| [45] [「君は、僕らの同志になり得る」]
584: 4953| [45] [その時、背後で足音が聞こえた。]
585: 4976| [47] [渡瀬]
586: 4979| [45] [「！！」]
587: 4984| [45] [渡瀬がはっとして振り向くと――]
588: 5008| [45] [男が１人、立っていた。]
589: 5013| [45] [ＰＤＡを手にしているところを見ると、先ほどまで渡瀬が話していた相手だろう。]
590: 5021| [47] [渡瀬]
591: 5024| [45] [「あ、あんたは……！？」]
592: 5032| [47] [宇喜多]
593: 5035| [45] [「僕か？　僕はラボの研究員だ」]
594: 5040| [45] [男はＰＤＡをしまって答える。]
595: 5078| [47] [宇喜多]
596: 5081| [45] [「だが君と同じく、ラボと鹿鳴市を憎む者さ」]
597: 5089| [47] [渡瀬]
598: 5092| [45] [「なに……！？」]
599: 5097| [45] [内部告発者――そんな言葉が、渡瀬の胸をよぎる。]
600: 5102| [45] [さきほどＰＤＡに送られてきた、ラボ内の写真や被験体の資料。]
601: 5107| [45] [それは内部の人間でなければ、手に入らないものだ。]
602: 5115| [47] [渡瀬]
603: 5118| [45] [「だが同志になり得るって……いや、『僕ら』ってのはどういう意味だ？」]
604: 5144| [47] [宇喜多]
605: 5147| [45] [「僕はね、ラボの現役研究員であると同時に、ある団体に所属しているのさ」]
606: 5155| [47] [渡瀬]
607: 5158| [45] [「ある団体だと？」]
608: 5166| [47] [宇喜多]
609: 5169| [45] [「１５年前の同時多発火災の際、逮捕された過激派団体だよ」]
610: 5177| [47] [宇喜多]
611: 5180| [45] [「幽閉されたコミュニケーターＡの代わりに、犯人の汚名を着せられた、ね」]
612: 5203| [47] [渡瀬]
613: 5206| [45] [「――ッ！」]
614: 5211| [45] [渡瀬は愕然とした。]
615: 5219| [47] [渡瀬]
616: 5222| [45] [「まさかあんたら……テロリストか！？」]
617: 5248| [47] [宇喜多]
618: 5251| [45] [「テロリストね。確かに権力に立ち向かう者というのは、しばしばそう呼ばれるな」]
619: 5259| [47] [渡瀬]
620: 5262| [45] [「言葉を飾るな！　お前らのやる事は、しょせんは破壊活動だろう！」]
621: 5270| [47] [渡瀬]
622: 5273| [45] [「超心研に爆弾でも仕掛けるのか！？　そんなのは俺たちの仕事が増えるだけで――」]
623: 5299| [47] [宇喜多]
624: 5302| [45] [「待て！　僕も好き好んで、過激派団体などに所属しているわけではない！」]
625: 5310| [47] [宇喜多]
626: 5313| [45] [「鹿鳴市に対抗するためには、他に頼れる組織が存在しないというだけだ」]
627: 5321| [47] [渡瀬]
628: 5324| [45] [「なに……？　そんなの警察とか、いくらでも……」]
629: 5350| [47] [宇喜多]
630: 5353| [45] [「警察はダメだ。これほどの大規模な隠蔽が行われている以上、警察も鹿鳴市の息がかかっていると考えた方がいい」]
631: 5379| [47] [宇喜多]
632: 5382| [45] [「情報規制が行われているのを見るに、マスコミも全くアテにならん」]
633: 5408| [47] [宇喜多]
634: 5411| [45] [「では個人で立ち向かうか？　不可能だ。かつてそれを試みた者もいたが、事故に見せかけて殺された」]
635: 5419| [47] [宇喜多]
636: 5422| [45] [「それでもなお、僕は真実を明るみに出したい……！」]
637: 5430| [47] [宇喜多]
638: 5433| [45] [「この街の全てを敵に回してでも、ラボの悪事を白日の元にさらしたいんだ！」]
639: 5441| [47] [渡瀬]
640: 5444| [45] [「な……なぜそこまで！？」]
641: 5470| [47] [宇喜多]
642: 5473| [45] [「君にそうする動機があるように、僕にも戦う理由があるのさ」]
643: 5481| [47] [宇喜多]
644: 5484| [45] [「もうわかったろ？　なぜ僕が君にこんな話をしたか」]
645: 5492| [47] [宇喜多]
646: 5495| [45] [「僕らは今、鹿鳴市とラボに、痛烈な打撃を加える計画を練っている」]
647: 5503| [47] [宇喜多]
648: 5506| [45] [「その計画を遂行するにあたって、君の力が欲しいんだ」]
649: 5514| [47] [渡瀬]
650: 5517| [45] [「俺の力……だと？」]
651: 5543| [47] [宇喜多]
652: 5546| [45] [「もちろん断るのは自由だ」]
653: 5572| [47] [宇喜多]
654: 5575| [45] [「そしていま聞いた話を警察にでも言えば、僕はテロリストとして逮捕されるだろう」]
655: 5601| [47] [宇喜多]
656: 5604| [45] [「もっとも警察の前にラボの連中に捕まり、殺されるかもしれんがね」]
657: 5612| [47] [渡瀬]
658: 5615| [45] [「……っ」]
659: 5641| [47] [宇喜多]
660: 5644| [45] [「君に顔を見せ、素性をもさらした事は、僕にとっても賭けだったんだよ」]
661: 5652| [47] [宇喜多]
662: 5655| [45] [「だが僕は、君が同志になってくれると信じたい……」]
663: 5663| [47] [宇喜多]
664: 5666| [45] [「さきほど君が語った、亡きお姉さんに向けた言葉が、本当だと信じたいんだ」]
665: 5690| [45] [男はそう言って、渡瀬を見据えた。]
666: 5716| [47] [宇喜多]
667: 5719| [45] [「今なら君は後戻りできる。全て忘れて、元の生活に戻る事ができる」]
668: 5727| [47] [宇喜多]
669: 5730| [45] [「だが、もし僕らと共に鹿鳴市と戦う気持ちがあるのなら――」]
670: 5756| [47] [宇喜多]
671: 5759| [45] [「同志になってくれ」]
672: 5764| [45] [渡瀬も男を見据えた。]
673: 5769| [45] [長い沈黙の後、言葉を返す。]
674: 5777| [47] [渡瀬]
675: 5780| [45] [「……あんたらの組織の名は？」]
676: 5806| [47] [宇喜多]
677: 5809| [45] [「――Ｑ」]
678: 5817| [47] [宇喜多]
679: 5820| [45] [「この欺瞞に満ちた世界に、厳然たる問いを突きつける者だ」]
680: 5852| [45] [――夏彦はその記憶を見て、愕然とした。]
681: 5932| [47] [夏彦]
682: 5933| [45] [（そうか……だから渡瀬はあんなにも、コミュニケーターを憎んでいたのか……！）]
683: 5964| [47] [夏彦]
684: 5965| [45] [（そして渡瀬を悪の道に引きずり込んだのは、宇喜多のおじさん……！）]
685: 5970| [45] [疑わしいとは思っていたが、やはり宇喜多もテロリストの一員だったのだ。]
686: 6034| [47] [夏彦]
687: 6035| [45] [（でも……おじさんも渡瀬も、とんでもない誤解をしている）]
688: 6115| [47] [夏彦]
689: 6116| [45] [（悠里は被験体だったけど、怪物なんかにはなってないんだぞ！）]
690: 6180| [47] [夏彦]
691: 6181| [45] [（その『コミュニケーターＡ』ってのは、確かに危険な存在だったかもしれないけど――）]
692: 6186| [47] [夏彦]
693: 6187| [45] [（今のラボは、怪物を作ろうとなんてしてないんだ！）]
694: 6192| [47] [夏彦]
695: 6193| [45] [（まして生物兵器がどうとか、そんな荒唐無稽な話、あるわけないじゃないか……！）]
696: 6198| [45] [だとしたら渡瀬は誤解によって、テロリストに身を落としたのだろうか。]
697: 6203| [45] [彼の記憶を見るほどに、辛い気持ちが募ってくる。]
698: 6208| [45] [それでも真実を知るために、夏彦は渡瀬の記憶を見続けた。]
699: 6262| [45] [そして、次に浮かんできたのは――]
700: 6267| [45] [それからちょうど１ヶ月後の記憶だった。]
