  0:   53| [45] [――夏彦は再び、あの悪意渦巻く記憶に飛び込んだ。]
466: 6018| [45] [――それは、この少女の事を指していたのだろうか。]
467: 6100| [47] [被験体Ｎ]
468: 6103| [45] [「……この薄暗い地下施設が、俺の世界の全てだ」]
469: 6111| [47] [被験体Ｎ]
470: 6114| [45] [「わずかに覚えているのも、ラボの中の記憶だけだ」]
471: 6122| [47] [被験体Ｎ]
472: 6125| [45] [「正常な世界に生きていれば、別の名を与えられたのかもしれない」]
473: 6151| [47] [被験体Ｎ]
474: 6154| [45] [「だが俺は、このＢＣ研究所で生まれた」]
475: 6162| [47] [被験体Ｎ]
476: 6165| [45] [「『被験体』という役目を背負って……」]
477: 6173| [47] [夏彦]
478: 6176| [45] [「……お前」]
479: 6181| [45] [その言葉に、表情に、胸が締め付けられる。]
480: 6186| [45] [せめて最後に、彼女の名前を呼んでやりたかったが、それもできないのだ。]
481: 6194| [47] [夏彦]
482: 6197| [45] [「すまない……被験体Ｎ」]
483: 6223| [47] [被験体Ｎ]
484: 6226| [45] [「……謝るなよ、怪物」]
485: 6231| [45] [彼女の声に夏彦は、心の痛みを覚えながら――]
486: 6300| [45] [――その記憶を、消去した。]
