  0:  107| [45] [――最愛の父を失った後、恵那は――]
465: 2737| [45] [あるいはＢＣの過剰使用等によるものなのか……。]
466: 2741| [85] [　]
467: 2744| [45] [アリスの状態も心配だが、安曇の心労も目を覆うばかりだ。]
468: 2748| [45] [安曇はなんとしても、アリスのＮ化を治療しようと望んでいるが……。]
469: 2754| [45] [私もできるかぎり、力を尽くそう。]
470: 2764| [85] [　]
471: 2767| [45] [【８月１６日】]
472: 2771| [85] [　]
473: 2774| [45] [アリスの件について、育児休暇中の天川夫妻に助言を求めに行った。]
474: 2777| [45] [だが彼らにとっても、原因や解決策の見当はつかないらしい。]
475: 2781| [85] [　]
476: 2784| [45] [その帰りに、市民団体の連中と出くわした。]
477: 2787| [45] [黒田くんが彼らに殴りかかろうとするのを、私は必死で止めた。]
478: 2791| [85] [　]
479: 2794| [45] [そんな事をしても、アリスの心が回復するわけじゃないのだ……。]
480: 2804| [85] [　]
481: 2807| [45] [【９月８日】]
482: 2811| [85] [　]
483: 2814| [45] [――アリスの抱える問題は、さらに深刻化した。]
484: 2818| [85] [　]
485: 2821| [45] [テレパシーを、無差別に、かつ継続的に使い続けるという、]
486: 2824| [45] [奇妙な行動に出たのだ。]
487: 2828| [85] [　%N　%N]
488: 2831| [45] [彼女が発信するテレパシーの内容は形容しがたいが、]
489: 2834| [45] [一言で言うならば、『呪詛』である。]
490: 2838| [85] [　%N]
491: 2841| [45] [その呪詛には、ネガティブな感情が色濃く塗り込められている。]
492: 2845| [45] [アリスは悪意の塊のようなテレパシーを、]
493: 2848| [45] [無差別に発信するようになってしまったのだ。]
494: 2852| [85] [　%N　%N]
495: 2855| [45] [そしてその悪意はあろう事か、周囲の人間にまで伝播する。]
496: 2859| [85] [　%N]
497: 2862| [45] [彼女のテレパシーを受信した超心研の研究員たちは、みな極めて攻撃的かつ不安・不穏な心理状態に陥ったのだ。]
498: 2868| [45] [（※とりわけ酷い反応が出たのは、江里口研究員・柏木研究員など）]
499: 2872| [85] [　%N　%N]
500: 2875| [45] [これはどうやら、ただのテレパシーではない気がする。]
501: 2879| [85] [　%N]
502: 2882| [45] [通常のテレパシー受信時には起きない、奇妙な現象が頻発したのだ。]
503: 2885| [45] [（記憶のフラッシュバックや認識障害など）]
504: 2890| [85] [　%N　%N]
505: 2893| [45] [我々はこれを仮に、『ＮＢＣ＝ Negative Beyond Communication』と名づけた。]
506: 2903| [85] [　%N　%N]
507: 2906| [45] [ＮＢＣの効果は一時的なものであったようだが――]
508: 2910| [45] [それで私も研究者たちも、アリスの現況がいかに危険かという事に気付かされた。]
509: 2917| [85] [　%N　]
510: 2920| [45] [我々は緊急措置として、超心研の地下室に、アリスを幽閉する事にした。]
511: 2927| [85] [　%N　%N]
512: 2930| [45] [睡眠薬を継続的に投与し、眠らせ続けるほかないと判断したのだ。]
513: 2934| [85] [　]
514: 2937| [45] [彼女にこんな事をするのは、非常に心が痛んだが……。]
515: 2941| [85] [　]
516: 2944| [45] [そうでもしなければ、周囲の人々が皆、彼女のＮＢＣに精神を汚染されてしまう。]
517: 2951| [85] [　%N　%N]
518: 2954| [45] [しかしいつまでも、彼女を眠らせておくわけにはいかない。]
519: 2958| [85] [　]
520: 2961| [45] [ではどうすればいいのか？]
521: 2965| [85] [　]
522: 2968| [45] [せめて超心研の建屋の壁が全て、ＮＢＣを遮る素材でできていれば……？]
523: 2975| [85] [　]
524: 2978| [45] [そんな下らない妄想さえ、私の頭には浮かんだ。]
525: 2982| [85] [　%N　%N]
526: 2985| [45] [私も安曇も黒田くんも、みな絶望に近い心境だ。]
527: 2989| [45] [それでも私はアリスを、いつか治療できると信じる。]
528: 2993| [85] [　]
529: 2996| [45] [明るい材料など何一つ無いが、]
530: 2999| [45] [そう信じる心さえ失ってしまっては、本当に終わりだからだ……。]
531: 3009| [85] [　]
532: 3012| [45] [【９月１４日】]
533: 3016| [85] [　]
534: 3019| [45] [アリスが眠りについてから約一週間。]
535: 3022| [45] [事態は何一つ好転していない。]
536: 3026| [85] [　]
537: 3029| [45] [眠り続けている限りは、彼女は安全である。]
538: 3032| [45] [しかし目を覚ました瞬間、極めて危険な存在となる。]
539: 3036| [85] [　%N　%N]
540: 3039| [45] [だがこのままずっと眠らせておいては、]
541: 3042| [45] [彼女は死んでいるのと同じだ。]
542: 3046| [85] [　]
543: 3049| [45] [故に彼女の治療を行う施設を、早急に設立しなければならない。]
544: 3053| [85] [　%N]
545: 3056| [45] [施設の要件は、以下の通り。]
546: 3060| [85] [　%N　%N]
547: 3063| [45] [まず第一に、アリスのＮＢＣが施設外に漏れない設計になっていなければならない。]
548: 3070| [85] [　]
549: 3073| [45] [そのため施設内の全ての壁には、開発中の新素材『ＢＣ絶縁体』を用いるべきである。]
550: 3079| [45] [（ＢＣ絶縁体は現在天川美夜子博士の手で、急速に実用化が進められている）]
551: 3086| [85] [　%N　%N]
552: 3089| [45] [またアリスがその施設から外に出なくとも、]
553: 3092| [45] [充分に生活できるようになっていなければならない。]
554: 3096| [85] [　]
555: 3099| [45] [広大な敷地の中に、]
556: 3102| [45] [治療室・研究室・居住区など、様々な設備が必要になる。]
557: 3106| [45] [（また彼女と接する研究員がＮＢＣの影響を受けないよう、]
558: 3109| [45] [ＢＣから脳を保護する装備・装置・あるいは薬剤などが必要となる）]
559: 3116| [85] [　%N　%N]
560: 3119| [45] [さらに、アリスを件の市民団体のような外敵から護る為に、]
561: 3122| [45] [優れた警備システムも必要だ。]
562: 3126| [85] [　]
563: 3129| [45] [超心研程度の施設では、とても上記の要件は満たせない。]
564: 3133| [85] [　%N　%N]
565: 3136| [45] [そんな施設を設立するのは、一役人としては大きすぎる望みかも知れないが――]
566: 3143| [85] [　]
567: 3146| [45] [もはや事は、アリスだけの問題ではない。]
568: 3150| [85] [　%N　%N]
569: 3153| [45] [Ｎ化の原因が不明である以上、今後もアリスと同様の症状に陥った]
570: 3159| [45] [コミュニケーターが現れるかもしれない。]
571: 3163| [85] [　]
572: 3166| [45] [例えば天川瞬氏だって、いつＮ化しないとも限らないのだ。]
573: 3170| [85] [　]
574: 3173| [45] [私は超科局本部に嘆願する。]
575: 3176| [45] [たとえ何度突っぱねられても、これだけはやらねばならない。]
576: 3186| [85] [　]
577: 3189| [45] [【９月１６日】]
578: 3193| [85] [　]
579: 3196| [45] [東京の超科局本部から帰った夜。]
580: 3200| [85] [　]
581: 3203| [45] [超心研に泊り込んでいた研究員たちから、アリスが消えたという報せが入った。]
582: 3210| [85] [　%N　%N]
583: 3213| [45] [彼女は自力で、超心研の地下室から脱走したらしい。]
584: 3217| [85] [　]
585: 3220| [45] [点滴を替えにいった江里口研究員が、何らかのトラブルを起こし、]
586: 3223| [45] [彼女を逃がしてしまったようだ。]
587: 3226| [45] [（トラブルの詳細は不明。]
588: 3229| [45] [江里口研究員は現在、極度の興奮・混乱状態に陥っていて、]
589: 3232| [45] [事情聴取ができない）]
590: 3236| [85] [　%N　%N]
591: 3239| [45] [私は今から黒田くんと共に、アリスを探しに行く。]
592: 3243| [85] [　]
593: 3246| [45] [胸騒ぎがする……。]
594: 3321| [45] [――日記は、鹿鳴市同時多発火災が起きた、９月１６日で終わっていた。]
595: 3326| [45] [そしてそれを読み終えた恵那は、呆然と呟いた。]
596: 3376| [47] [恵那]
597: 3379| [45] [「ち……父は、本当に……コミュニケーターＡの保護を……！」]
598: 3384| [47] [黒田]
599: 3387| [45] [「ああ。それこそ身を尽くしてな」]
600: 3392| [47] [黒田]
601: 3395| [45] [「……Ｎ化の原因は今もってはっきりしてないが、恐らくセンシズシンパシーの過剰使用にあると言われている」]
602: 3400| [47] [黒田]
603: 3403| [45] [「Ａはフランスから日本に渡ってきた時点で、すでに相当Ｎ化が進行していたんだ」]
604: 3408| [47] [黒田]
605: 3411| [45] [「椿山室長や、超心研の研究員たちの献身の甲斐もあり、一時は平静を取り戻していたんだが……」]
606: 3416| [47] [黒田]
607: 3419| [45] [「実のところ彼女の心は、ギリギリのところで踏みとどまっていたんだな」]
608: 3424| [47] [黒田]
609: 3427| [45] [「折悪しく当時の鹿鳴市では、市民団体の反ＢＣデモが巻き起こっていた」]
610: 3432| [47] [黒田]
611: 3435| [45] [「その市民団体の迫害がきっかけで、ＡのＮ化は一気に進行。抑えていた悪意が噴出し――」]
612: 3440| [47] [黒田]
613: 3443| [45] [「完全にＮ化したＡは、超心研を脱走。そしてあの事件が起きたんだ」]
614: 3448| [47] [恵那]
615: 3451| [45] [「あの事件……？」]
616: 3456| [47] [黒田]
617: 3459| [45] [「鹿鳴市同時多発火災だよ」]
618: 3464| [47] [恵那]
619: 3467| [45] [「そんな！？　鹿鳴市同時多発火災が、Ａによって引き起こされたものだっていうんですか！？」]
620: 3472| [47] [黒田]
621: 3475| [45] [「あぁ。Ａの悪意に感染した１５名の人間が、あの夜街中で様々な犯罪を行ったのさ」]
622: 3480| [47] [黒田]
623: 3483| [45] [「なぜかその犯罪行為の大半は、『放火』だった。恐らくＡの思考が影響したんだろう」]
624: 3488| [47] [黒田]
625: 3491| [45] [「椿山管理官と俺は、Ａを保護するために街中を探し回った……」]
626: 3557| [47] [黒田]
627: 3560| [45] [「ようやく見つけたのは、９月１６日の深夜。場所は鹿鳴公園」]
628: 3565| [47] [黒田]
629: 3568| [45] [「Ａはその時まさに、悪意に感染した男にナイフを突きつけられ、殺されそうになっていた」]
630: 3573| [47] [黒田]
631: 3576| [45] [「椿山管理官はＡを庇って刺された。動転した犯人は逃げようとしたが、すぐに俺が取り押さえた」]
632: 3581| [47] [黒田]
633: 3584| [45] [「……問題はその後だ。その状況をどう収束すべきか、俺にはわからなかった」]
634: 3589| [47] [黒田]
635: 3592| [45] [「俺は悪意に感染するのが怖くて、Ａに近づけなかったんだよ」]
636: 3597| [47] [黒田]
637: 3600| [45] [「しかしそのまま放置していては、悪意感染者はさらに増える。冗談抜きに街が滅びかねないってのに、俺は何もできない……」]
638: 3644| [47] [黒田]
639: 3647| [45] [「……結局、街を救ったのは、椿山管理官だった」]
640: 3652| [47] [黒田]
641: 3655| [45] [「あの人は重傷を負い、悪意に感染しながらも、Ａに睡眠薬を注射し、眠らせたのさ」]
642: 3699| [47] [恵那]
643: 3702| [45] [「なっ……！！」]
644: 3707| [47] [黒田]
645: 3710| [45] [「Ａを超心研に連れ戻した後、椿山管理官は病院に運ばれたが、もう手遅れだった」]
646: 3715| [47] [黒田]
647: 3718| [45] [「……彼の命と引き換えに、この街は生き延びたのさ」]
648: 3791| [45] [――恵那はもはや言葉を失っていた。]
649: 3796| [45] [父の壮絶な生き様と死に様に、何も言葉が出なかったのだ。]
650: 3806| [47] [黒田]
651: 3809| [45] [「……そしてあの事件をきっかけに、政府もようやく事の重大さを理解した」]
652: 3814| [47] [黒田]
653: 3817| [45] [「それからわずか２年でＢＣ法成立、政令指定機密都市の法制化、そしてラボの設立など、様々な動きが起きたんだ」]
654: 3822| [47] [黒田]
655: 3825| [45] [「社会情勢の悪化を鑑み、我が超科局も組織が強化。ＢＣ関連犯罪に対応するため、今では警察と同等の権限が認められている」]
656: 3830| [47] [黒田]
657: 3833| [45] [「なおＡは事件の後２年ほど超心研に幽閉されていたが、ラボが設立されると同時に、そっちに移行された」]
658: 3838| [47] [黒田]
659: 3841| [45] [「ラボはＢＣの研究所だが、Ｎ化したコミュニケーターの幽閉・治療施設でもあるんだよ。椿山室長が生前に望んだ理想の砦さ」]
660: 3846| [47] [黒田]
661: 3849| [45] [「だが治療は叶わず……Ａはその１年後に死亡した。そうして事件は収束したんだよ」]
662: 3854| [45] [恵那はごくりと唾を飲み込み、そして黒田を見据えて言う。]
663: 3859| [47] [恵那]
664: 3862| [45] [「……それがこの街の、本当の歴史ですか」]
665: 3867| [47] [黒田]
666: 3870| [45] [「そうだ。これでお前もわかったろう？　『親父さんのようになって欲しくない』っていう言葉の意味が」]
667: 3875| [47] [黒田]
668: 3878| [45] [「椿山室長が命を賭して護ろうとした相手は、人の心を狂わせる怪物でもあったんだ」]
669: 3883| [47] [黒田]
670: 3886| [45] [「その事を知らずに、ただ『護りたい』ってだけじゃ、お前も親父さんと同じ運命をたどりかねないぞ」]
671: 3891| [47] [黒田]
672: 3894| [45] [「それでもお前は、この仕事を選ぶか？」]
673: 3904| [47] [恵那]
674: 3905| [45] [「――……」]
675: 3910| [47] [恵那]
676: 3913| [45] [「はい」]
677: 3918| [45] [恵那が答えると、黒田はかすかに笑った。]
678: 3928| [47] [黒田]
679: 3931| [45] [「いい覚悟だ！　では肝に銘じておけ！」]
680: 3936| [47] [黒田]
681: 3939| [45] [「今日からお前は、社会の裏で生きる。この仕事を通じて知った事実は、誰にも明かしてはならない」]
682: 3944| [47] [黒田]
683: 3947| [45] [「仮に先ほど話したような事実を公表したら、日本中でコミュニケーターの迫害が起こるだろう。２０１４年の世界に逆戻りだ」]
684: 3952| [47] [黒田]
685: 3955| [45] [「故に俺たちは、真実を誰にも語る事はできない」]
686: 3960| [47] [黒田]
687: 3963| [45] [「全てを心のうちに納め、仮面をかぶり、それでもなおコミュニケーターと接しなければならないんだよ」]
688: 3968| [47] [恵那]
689: 3971| [45] [「……っ」]
690: 3976| [47] [黒田]
691: 3979| [45] [「護るべき相手は、いつ怪物に変わるかわからん。保護と監視は表裏一体だ」]
692: 3984| [47] [黒田]
693: 3987| [45] [「コミュニケーターを護りたいなら、彼らに対し、決して警戒を怠るな。距離を置け。冷静に観察しろ」]
694: 3992| [47] [黒田]
695: 3995| [45] [「キツイ仕事だが……やれるな、『椿山恵那管理官』？」]
696: 4005| [45] [恵那はその言葉に、笑みを返す。]
697: 4010| [47] [恵那]
698: 4013| [45] [「キツイなんて、とんでもない。『やりがいのある仕事』ですよ」]
699: 4220| [45] [――そうして記憶を遡り、様々なものに対する想いが強くなるに従い――]
700: 4225| [45] [恵那の心の奥底から、新たな記憶が湧き上がってきた。]
