  0:   64| [45] [――そして、運命の日がやってきた。]
476: 5998| [47] [渡瀬]
477: 6001| [45] [「それと、そう……爆弾を仕掛けるのを忘れるな」]
478: 6006| [47] [堂島]
479: 6009| [45] [「あ……ああ」]
480: 6076| [45] [渡瀬たちはテトリル爆弾をその部屋に仕掛け、被験体Ｎを連れて部屋を出た。]
481: 6130| [45] [血塗れの研究員たちをエレベーターまで運び、網膜認証を行う。]
482: 6135| [45] [半死人の網膜で認証ができるかどうか不安だったが、エレベーターはちゃんと動いてくれた。]
483: 6143| [47] [渡瀬]
484: 6146| [45] [「この２人を……上に連れて行くか？」]
485: 6151| [47] [堂島]
486: 6154| [45] [「……よそう。２人とも、もう助からない……」]
487: 6159| [45] [そう言われ、渡瀬は沈んだ気持ちでうなずく。]
488: 6164| [45] [完璧だったはずの計画は、もはや何もかも狂い始めていた――。]
489: 6196| [45] [――その記憶を、夏彦は固唾を呑んで見ていた。]
490: 6201| [47] [夏彦]
491: 6202| [45] [（こ……これからどうなるんだ……！？）]
492: 6207| [45] [とりあえず例の爆弾は、確かに仕掛けられてた。]
493: 6262| [45] [場所はＺｅｒｏエリアの、被験体Ｎの部屋。]
494: 6314| [45] [爆破時刻は『１８時１７分』。]
495: 6319| [45] [現実の時間では、あと約２時間後――！]
496: 6336| [47] [夏彦]
497: 6337| [45] [（お、落ち着け……！　そっちも大問題だけど……）]
498: 6342| [47] [夏彦]
499: 6343| [45] [（もうすぐ、ぼくと渡瀬が遭遇するはずだ）]
500: 6398| [47] [夏彦]
501: 6399| [45] [（あの時の渡瀬は、この時点よりずっと凶悪な様子だった）]
502: 6404| [47] [夏彦]
503: 6405| [45] [（この先の記憶に、その理由が隠されてるのか……！？）]
504: 6422| [45] [夏彦はその原因に、おぼろげに気付きつつあった。]
505: 6427| [45] [だがそれを確信に変えるため、さらに記憶を読み進めた。]
