  0:   65| [45] [――そして最愛の父を失った後、恵那は――]
471: 2632| [45] [一言で言うならば、『呪詛』である。]
472: 2636| [85] [　%N]
473: 2639| [45] [その呪詛には、ネガティブな感情が色濃く塗り込められている。]
474: 2643| [45] [アリスは悪意の塊のようなテレパシーを、]
475: 2646| [45] [無差別に発信するようになってしまったのだ。]
476: 2650| [85] [　%N　%N]
477: 2653| [45] [そしてその悪意はあろう事か、周囲の人間にまで伝播する。]
478: 2657| [85] [　%N]
479: 2660| [45] [彼女のテレパシーを受信した超心研の研究員たちは、みな極めて攻撃的かつ不安・不穏な心理状態に陥ったのだ。]
480: 2666| [45] [（※とりわけ酷い反応が出たのは、江里口研究員・柏木研究員など）]
481: 2670| [85] [　%N　%N]
482: 2673| [45] [これはどうやら、ただのテレパシーではない気がする。]
483: 2677| [85] [　%N]
484: 2680| [45] [通常のテレパシー受信時には起きない、奇妙な現象が頻発したのだ。]
485: 2683| [45] [（記憶のフラッシュバックや認識障害など）]
486: 2688| [85] [　%N　%N]
487: 2691| [45] [我々はこれを仮に、『ＮＢＣ＝ Negative Beyond Communication』と名づけた。]
488: 2701| [85] [　%N　%N]
489: 2704| [45] [ＮＢＣの効果は一時的なものであったようだが――]
490: 2708| [45] [それで私も研究者たちも、アリスの現況がいかに危険かという事に気付かされた。]
491: 2715| [85] [　%N　]
492: 2718| [45] [我々は緊急措置として、超心研の地下室に、アリスを幽閉する事にした。]
493: 2725| [85] [　%N　%N]
494: 2728| [45] [睡眠薬を継続的に投与し、眠らせ続けるほかないと判断したのだ。]
495: 2732| [85] [　]
496: 2735| [45] [彼女にこんな事をするのは、非常に心が痛んだが……。]
497: 2739| [85] [　]
498: 2742| [45] [そうでもしなければ、周囲の人々が皆、彼女のＮＢＣに精神を汚染されてしまう。]
499: 2749| [85] [　%N　%N]
500: 2752| [45] [しかしいつまでも、彼女を眠らせておくわけにはいかない。]
501: 2756| [85] [　]
502: 2759| [45] [ではどうすればいいのか？]
503: 2763| [85] [　]
504: 2766| [45] [せめて超心研の建屋の壁が全て、ＮＢＣを遮る素材でできていれば……？]
505: 2773| [85] [　]
506: 2776| [45] [そんな下らない妄想さえ、私の頭には浮かんだ。]
507: 2780| [85] [　%N　%N]
508: 2783| [45] [私も安曇も黒田くんも、みな絶望に近い心境だ。]
509: 2787| [45] [それでも私はアリスを、いつか治療できると信じる。]
510: 2791| [85] [　]
511: 2794| [45] [明るい材料など何一つ無いが、]
512: 2797| [45] [そう信じる心さえ失ってしまっては、本当に終わりだからだ……。]
513: 2807| [85] [　]
514: 2810| [45] [【９月１４日】]
515: 2814| [85] [　]
516: 2817| [45] [アリスが眠りについてから約一週間。]
517: 2820| [45] [事態は何一つ好転していない。]
518: 2824| [85] [　]
519: 2827| [45] [眠り続けている限りは、彼女は安全である。]
520: 2830| [45] [しかし目を覚ました瞬間、極めて危険な存在となる。]
521: 2834| [85] [　%N　%N]
522: 2837| [45] [だがこのままずっと眠らせておいては、]
523: 2840| [45] [彼女は死んでいるのと同じだ。]
524: 2844| [85] [　]
525: 2847| [45] [故に彼女の治療を行う施設を、早急に設立しなければならない。]
526: 2851| [85] [　%N]
527: 2854| [45] [施設の要件は、以下の通り。]
528: 2858| [85] [　%N　%N]
529: 2861| [45] [まず第一に、アリスのＮＢＣが施設外に漏れない設計になっていなければならない。]
530: 2868| [85] [　]
531: 2871| [45] [そのため施設内の全ての壁には、開発中の新素材『ＢＣ絶縁体』を用いるべきである。]
532: 2877| [45] [（ＢＣ絶縁体は現在天川美夜子博士の手で、急速に実用化が進められている）]
533: 2884| [85] [　%N　%N]
534: 2887| [45] [またアリスがその施設から外に出なくとも、]
535: 2890| [45] [充分に生活できるようになっていなければならない。]
536: 2894| [85] [　]
537: 2897| [45] [広大な敷地の中に、]
538: 2900| [45] [治療室・研究室・居住区など、様々な設備が必要になる。]
539: 2904| [45] [（また彼女と接する研究員がＮＢＣの影響を受けないよう、]
540: 2907| [45] [ＢＣから脳を保護する装備・装置・あるいは薬剤などが必要となる）]
541: 2914| [85] [　%N　%N]
542: 2917| [45] [さらに、アリスを件の市民団体のような外敵から護る為に、]
543: 2920| [45] [優れた警備システムも必要だ。]
544: 2924| [85] [　]
545: 2927| [45] [超心研程度の施設では、とても上記の要件は満たせない。]
546: 2931| [85] [　%N　%N]
547: 2934| [45] [そんな施設を設立するのは、一役人としては大きすぎる望みかも知れないが――]
548: 2941| [85] [　]
549: 2944| [45] [もはや事は、アリスだけの問題ではない。]
550: 2948| [85] [　%N　%N]
551: 2951| [45] [Ｎ化の原因が不明である以上、]
552: 2954| [45] [今後もアリスと同様の症状に陥ったコミュニケーターが現れるかもしれない。]
553: 2961| [85] [　]
554: 2964| [45] [例えば天川瞬氏だって、いつＮ化しないとも限らないのだ。]
555: 2968| [85] [　]
556: 2971| [45] [私は超科局本部に嘆願する。]
557: 2974| [45] [たとえ何度突っぱねられても、これだけはやらねばならない。]
558: 2984| [85] [　]
559: 2987| [45] [【９月１６日】]
560: 2991| [85] [　]
561: 2994| [45] [東京の超科局本部から帰った夜。]
562: 2998| [85] [　]
563: 3001| [45] [超心研に泊り込んでいた研究員たちから、アリスが消えたという報せが入った。]
564: 3008| [85] [　%N　%N]
565: 3011| [45] [彼女は自力で、超心研の地下室から脱走したらしい。]
566: 3015| [85] [　]
567: 3018| [45] [点滴を替えにいった江里口研究員が、何らかのトラブルを起こし、]
568: 3021| [45] [彼女を逃がしてしまったようだ。]
569: 3024| [45] [（トラブルの詳細は不明。]
570: 3027| [45] [江里口研究員は現在、極度の興奮・混乱状態に陥っていて、]
571: 3030| [45] [事情聴取ができない）]
572: 3034| [85] [　%N　%N]
573: 3037| [45] [私は今から黒田くんと共に、アリスを探しに行く。]
574: 3041| [85] [　]
575: 3044| [45] [胸騒ぎがする……。]
576: 3119| [45] [――日記は、鹿鳴市同時多発火災が起きた、９月１６日で終わっていた。]
577: 3124| [45] [そしてそれを読み終えた恵那は、呆然と呟いた。]
578: 3174| [47] [恵那]
579: 3177| [45] [「ち……父は、本当に……コミュニケーターＡの保護を……！」]
580: 3182| [47] [黒田]
581: 3185| [45] [「ああ。それこそ身を尽くしてな」]
582: 3190| [47] [黒田]
583: 3193| [45] [「……Ｎ化の原因は今もってはっきりしてないが、恐らくセンシズシンパシーの過剰使用にあると言われている」]
584: 3198| [47] [黒田]
585: 3201| [45] [「Ａはフランスから日本に渡ってきた時点で、すでに相当Ｎ化が進行していたんだ」]
586: 3206| [47] [黒田]
587: 3209| [45] [「椿山室長や、超心研の研究員たちの献身の甲斐もあり、一時は平静を取り戻していたんだが……」]
588: 3214| [47] [黒田]
589: 3217| [45] [「実のところ彼女の心は、ギリギリのところで踏みとどまっていたんだな」]
590: 3222| [47] [黒田]
591: 3225| [45] [「折悪しく当時の鹿鳴市では、市民団体の反ＢＣデモが巻き起こっていた」]
592: 3230| [47] [黒田]
593: 3233| [45] [「その市民団体の迫害がきっかけで、ＡのＮ化は一気に進行。抑えていた悪意が噴出し――」]
594: 3238| [47] [黒田]
595: 3241| [45] [「完全にＮ化したＡは、超心研を脱走。そしてあの事件が起きたんだ」]
596: 3246| [47] [恵那]
597: 3249| [45] [「あの事件……？」]
598: 3254| [47] [黒田]
599: 3257| [45] [「鹿鳴市同時多発火災だよ」]
600: 3262| [47] [恵那]
601: 3265| [45] [「そんな！？　鹿鳴市同時多発火災が、Ａによって引き起こされたものだっていうんですか！？」]
602: 3270| [47] [黒田]
603: 3273| [45] [「あぁ。Ａの悪意に感染した１５名の人間が、あの夜街中で様々な犯罪を行ったのさ」]
604: 3278| [47] [黒田]
605: 3281| [45] [「なぜかその犯罪行為の大半は、『放火』だった。恐らくＡの思考が影響したんだろう」]
606: 3286| [47] [黒田]
607: 3289| [45] [「椿山管理官と俺は、Ａを保護するために街中を探し回った……」]
608: 3355| [47] [黒田]
609: 3358| [45] [「ようやく見つけたのは、９月１６日の深夜。場所は鹿鳴公園」]
610: 3363| [47] [黒田]
611: 3366| [45] [「Ａはその時まさに、悪意に感染した男にナイフを突きつけられ、殺されそうになっていた」]
612: 3371| [47] [黒田]
613: 3374| [45] [「椿山管理官はＡを庇って刺された。動転した犯人は逃げようとしたが、すぐに俺が取り押さえた」]
614: 3379| [47] [黒田]
615: 3382| [45] [「……問題はその後だ。その状況をどう収束すべきか、俺にはわからなかった」]
616: 3387| [47] [黒田]
617: 3390| [45] [「俺は悪意に感染するのが怖くて、Ａに近づけなかったんだよ」]
618: 3395| [47] [黒田]
619: 3398| [45] [「しかしそのまま放置していては、悪意感染者はさらに増える。冗談抜きに街が滅びかねないってのに、俺は何もできない……」]
620: 3442| [47] [黒田]
621: 3445| [45] [「……結局、街を救ったのは、椿山管理官だった」]
622: 3450| [47] [黒田]
623: 3453| [45] [「あの人は重傷を負い、悪意に感染しながらも、Ａに睡眠薬を注射し、眠らせたのさ」]
624: 3497| [47] [恵那]
625: 3500| [45] [「なっ……！！」]
626: 3505| [47] [黒田]
627: 3508| [45] [「Ａを超心研に連れ戻した後、椿山管理官は病院に運ばれたが、もう手遅れだった」]
628: 3513| [47] [黒田]
629: 3516| [45] [「……彼の命と引き換えに、この街は生き延びたのさ」]
630: 3589| [45] [――恵那はもはや言葉を失っていた。]
631: 3594| [45] [父の壮絶な生き様と死に様に、何も言葉が出なかったのだ。]
632: 3604| [47] [黒田]
633: 3607| [45] [「……そしてあの事件をきっかけに、政府もようやく事の重大さを理解した」]
634: 3612| [47] [黒田]
635: 3615| [45] [「それからわずか２年でＢＣ法成立、政令指定機密都市の法制化、そしてラボの設立など、様々な動きが起きたんだ」]
636: 3620| [47] [黒田]
637: 3623| [45] [「社会情勢の悪化を鑑み、我が超科局も組織が強化。ＢＣ関連犯罪に対応するため、今では警察と同等の権限が認められている」]
638: 3628| [47] [黒田]
639: 3631| [45] [「なおＡは事件の後２年ほど超心研に幽閉されていたが、ラボが設立されると同時に、そっちに移行された」]
640: 3636| [47] [黒田]
641: 3639| [45] [「ラボはＢＣの研究所だが、Ｎ化したコミュニケーターの幽閉・治療施設でもあるんだよ。椿山室長が生前に望んだ理想の砦さ」]
642: 3644| [47] [黒田]
643: 3647| [45] [「だが治療は叶わず……Ａはその１年後に死亡した。そうして事件は収束したんだよ」]
644: 3652| [45] [恵那はごくりと唾を飲み込み、そして黒田を見据えて言う。]
645: 3657| [47] [恵那]
646: 3660| [45] [「……それがこの街の、本当の歴史ですか」]
647: 3665| [47] [黒田]
648: 3668| [45] [「そうだ。これでお前もわかったろう？　『親父さんのようになって欲しくない』っていう言葉の意味が」]
649: 3673| [47] [黒田]
650: 3676| [45] [「椿山室長が命を賭して護ろうとした相手は、人の心を狂わせる怪物でもあったんだ」]
651: 3681| [47] [黒田]
652: 3684| [45] [「その事を知らずに、ただ『護りたい』ってだけじゃ、お前も親父さんと同じ運命をたどりかねないぞ」]
653: 3689| [47] [黒田]
654: 3692| [45] [「それでもお前は、この仕事を選ぶか？」]
655: 3702| [47] [恵那]
656: 3703| [45] [「――……」]
657: 3708| [47] [恵那]
658: 3711| [45] [「はい」]
659: 3716| [45] [恵那が答えると、黒田はかすかに笑った。]
660: 3726| [47] [黒田]
661: 3729| [45] [「いい覚悟だ！　では肝に銘じておけ！」]
662: 3734| [47] [黒田]
663: 3737| [45] [「今日からお前は、社会の裏で生きる。この仕事を通じて知った事実は、誰にも明かしてはならない」]
664: 3742| [47] [黒田]
665: 3745| [45] [「仮に先ほど話したような事実を公表したら、日本中でコミュニケーターの迫害が起こるだろう。２０１４年の世界に逆戻りだ」]
666: 3750| [47] [黒田]
667: 3753| [45] [「故に俺たちは、真実を誰にも語る事はできない」]
668: 3758| [47] [黒田]
669: 3761| [45] [「全てを心のうちに納め、仮面をかぶり、それでもなおコミュニケーターと接しなければならないんだよ」]
670: 3766| [47] [恵那]
671: 3769| [45] [「……っ」]
672: 3774| [47] [黒田]
673: 3777| [45] [「護るべき相手は、いつ怪物に変わるかわからん。保護と監視は表裏一体だ」]
674: 3782| [47] [黒田]
675: 3785| [45] [「コミュニケーターを護りたいなら、彼らに対し、決して警戒を怠るな。距離を置け。冷静に観察しろ」]
676: 3790| [47] [黒田]
677: 3793| [45] [「キツイ仕事だが……やれるな、『椿山恵那管理官』？」]
678: 3803| [45] [恵那はその言葉に、笑みを返す。]
679: 3808| [47] [恵那]
680: 3811| [45] [「キツイなんて、とんでもない。『やりがいのある仕事』ですよ」]
