  0:   81| [45] [――病院跡で、渡瀬に真実を語った男の名は、宇喜多佳司と言った。]
441: 4943| [45] [「うむ」]
442: 4948| [45] [宇喜多はそう言って、ＰＤＡを取り出した。]
443: 4974| [47] [宇喜多]
444: 4977| [45] [「Ｑからの最後の指示が、この端末に送られてきた。読み上げるぞ」]
445: 4985| [47] [渡瀬]
446: 4988| [45] [「なんて？」]
447: 5014| [47] [宇喜多]
448: 5017| [45] [「――同志笠鷺・同志宇喜多、両名の尽力に感謝する」]
449: 5025| [47] [宇喜多]
450: 5028| [45] [「これより我々は、決行の際に必要となる、爆弾及び武器の準備を行う」]
451: 5037| [47] [宇喜多]
452: 5040| [45] [「消火器に偽装した、燃焼剤入り爆弾１００発、ラボ建屋破壊用爆薬『テトリル』３ｋｇ。護身用拳銃『Ｎｚ７５』３丁」]
453: 5048| [47] [宇喜多]
454: 5051| [45] [「テトリルと拳銃は、レスキュー隊の特殊装備に混ぜ、決行当日に持ち込んでくれ」]
455: 5059| [47] [宇喜多]
456: 5062| [45] [「目標、原子力生物学機構第６研究所。目的は建屋の破壊と、被験体２名の略取」]
457: 5070| [47] [宇喜多]
458: 5073| [45] [「決行はこれより、約１年後――２０３０年９月１６日とする」]
459: 5081| [47] [渡瀬]
460: 5084| [45] [「……鹿鳴市同時多発火災の起きた日か」]
461: 5089| [45] [Ｑのメンバーなら誰にとっても、忌わしい思い出のある日だろう。]
462: 5094| [45] [その日に決行する事には、大きな意味がある。]
463: 5102| [47] [宇喜多]
464: 5105| [45] [「――それまで同志各位は、一層の準備を進める事」]
465: 5114| [47] [宇喜多]
466: 5117| [45] [「格闘技や射撃の訓練等、しておくべき事は無数にある」]
467: 5125| [47] [宇喜多]
468: 5128| [45] [「またこれから１年間、計画を他者に語る事は無論、誰にも心を開いてはいけない」]
469: 5136| [47] [宇喜多]
470: 5139| [45] [「鹿鳴市は無数のコミュニケーターが住む街だ。誰かに心を許せば、心を読まれ、計画が露呈してしまうかもしれない」]
471: 5147| [47] [宇喜多]
472: 5150| [45] [「すでに死した被験体Ａのみならず、コミュニケーターは全て我々とは違う能力を持つ、一種の怪物だ」]
473: 5158| [47] [宇喜多]
474: 5161| [45] [「コミュニケーター全てを、忌むべき存在だと思え。鹿鳴市は怪物だらけの街だと思え」]
475: 5169| [47] [宇喜多]
476: 5172| [45] [「こんな異常な街の歴史は、終わらさなければならないんだ」]
477: 5180| [47] [宇喜多]
478: 5183| [45] [「極端な考え方だと思われるかもしれないが、警戒に警戒を重ねなければ、完璧な計画も瓦解する」]
479: 5191| [47] [宇喜多]
480: 5194| [45] [「以上に留意し、来るべき日を待ってくれたまえ」]
481: 5202| [47] [宇喜多]
482: 5205| [45] [「真実を暴き、亡き１１８名の無念を晴らす日を――」]
483: 5210| [45] [その長い文面を読み終えた宇喜多は、鋭い目線を渡瀬に飛ばした。]
484: 5236| [47] [宇喜多]
485: 5239| [45] [「……ずいぶんと、時代がかった言葉だな？」]
486: 5247| [47] [渡瀬]
487: 5250| [45] [「コミュニケーターは忌むべき存在、か……」]
488: 5276| [47] [宇喜多]
489: 5279| [45] [「それは言いすぎだろうが、心を開いてはいけないのは確かだ」]
490: 5305| [47] [渡瀬]
491: 5308| [45] [「……あぁ、その通りだ」]
492: 5369| [45] [そして渡瀬たちは、長い準備期間に入った。]
493: 5374| [45] [２０３０年の９月まで――]
