  0:   60| [45] [--And then--]
513: 4270| [45] ["On the outside, they're just a pharmaceutical company, but behind the facade, they're an arms dealer. Merchants of death, as the term goes."]
514: 4278| [47] [???]
515: 4281| [45] ["Almost all of the sinister research being carried out is done at their request."]
516: 4289| [47] [???]
517: 4292| [45] ["... But no one's realized this. So there's no one who can talk about or leak this."]
518: 4300| [47] [???]
519: 4303| [45] ["The truth will forever continue to be covered-up and vanish into the deepest darkness."]
520: 4311| [47] [Watase]
521: 4314| [45] ["... I see..."]
522: 4322| [47] [Watase]
523: 4325| [45] ["So Rokumei City..."]
524: 4333| [47] [Watase]
525: 4336| [45] ["... is trying to create more of those monsters responsible for Wataru and our parents' deaths...!"]
526: 4371| [45] [Flames of rage burned up within Watase.]
527: 4376| [45] [He sealed those pitch black flames deep within his chest and continued.]
528: 4384| [47] [Watase]
529: 4387| [45] ["Hey, lemme ask you something... What do you gain from telling me all this?"]
530: 4395| [47] [Watase]
531: 4398| [45] ["What do you want me to do...?"]
532: 4406| [47] [???]
533: 4409| [45] ["Let me reverse the question. What do -you- want to do?"]
534: 4432| [47] [Watase]
535: 4435| [45] ["..."]
536: 4443| [47] [???]
537: 4446| [45] ["Watase Kasasagi, I ask this straight to your heart. Now that you know the truth, can you return to that false peace?"]
538: 4454| [47] [???]
539: 4457| [45] ["Tell me your true feelings."]
540: 4525| [45] [Watase's heart pounded loudly at that request.]
541: 4530| [47] [Watase]
542: 4531| [45] [(Can I keep on living the same carefree life now that I know the truth...!?)]
543: 4589| [45] [The Rokumei City government had killed his sister and parents, twisted his life--]
544: 4594| [45] [And on top of all that, they'd hidden the truth and forced him to live an unknowing lie for 15 years.]
545: 4646| [45] [Watase had pushed his hatred of the culprit of the incident into the deepest corners of his heart by following his sister's dream.]
546: 4651| [45] [But the truth was, there was a certain desire he'd secretly held all these years.]
547: 4669| [47] [Watase]
548: 4672| [45] ["... I..."]
549: 4680| [47] [Watase]
550: 4683| [45] ["... I wanted to make the culprit go through the same pain Wataru did."]
551: 4691| [47] [???]
552: 4694| [45] ["Ah yes, Wataru was your sister, correct?"]
553: 4702| [47] [Watase]
554: 4705| [45] ["... Yeah."]
555: 4788| [47] [Watase]
556: 4791| [45] ["She... she was such a good person..."]
557: 4799| [47] [Watase]
558: 4802| [45] ["She was weak, but motivated... Stupid, but gentle...!"]
559: 4818| [45] [Tears poured out of Watase's eyes when he said that.]
560: 4823| [45] [--Watase loved Wataru.]
561: 4828| [45] [He hated the one who had taken her away from him forever from the bottom of his heart.]
562: 4833| [45] [But everything about the culprit, including her very existence, had been concealed by the Rokumei City government.]
563: 4838| [45] [If possible, he would've very much liked to tear A limb from limb, but that was no longer an option.]
564: 4843| [45] [Then that left the Rokumei City government as the only target for Watase's hatred and anger.]
565: 4851| [47] [Watase]
566: 4854| [45] ["... Hey..."]
567: 4862| [47] [Watase]
568: 4865| [45] ["Should I feel ashamed... about wanting revenge...?"]
569: 4870| [47] [???]
570: 4871| [45] ["..."]
571: 4879| [47] [Watase]
572: 4882| [45] ["... Is it okay for me to want revenge... when it's my job to save lives?"]
573: 4890| [47] [Watase]
574: 4893| [45] ["Is it okay for me to hate the bastards running Rokumei City?"]
575: 4901| [47] [???]
576: 4904| [45] ["Of course."]
577: 4909| [45] [The man's answer was clear and blunt.]
578: 4917| [47] [???]
579: 4920| [45] ["It's only human... for you to hate your family's killer."]
580: 4928| [47] [???]
581: 4931| [45] ["And if you truly feel that way--"]
582: 4939| [47] [???]
583: 4942| [45] ["Then you can become one of us. Our comrade."]
584: 4953| [45] [Watase heard footsteps coming from behind at that moment.]
585: 4976| [47] [Watase]
586: 4979| [45] ["!!"]
587: 4984| [45] [Watase turned around in surprise--]
588: 5008| [45] [--only to see a man standing there.]
589: 5013| [45] [Judging from the fact that he was holding a PDA, he had likely been the one talking to Watase just now.]
590: 5021| [47] [Watase]
591: 5024| [45] ["Wh-who are you...!?"]
592: 5032| [47] [Ukita]
593: 5035| [45] ["Me? I'm a researcher at LABO."]
594: 5040| [45] [The man put his PDA away and answered.]
595: 5078| [47] [Ukita]
596: 5081| [45] ["But I too hate LABO and Rokumei City, much like you."]
597: 5089| [47] [Watase]
598: 5092| [45] ["What...!?"]
599: 5097| [45] [A whistleblower-- that term passed through Watase's head.]
600: 5102| [45] [He'd sent him pictures of LABO and data about the test subject just minutes ago.]
601: 5107| [45] [Only someone on the inside could have obtained those things.]
602: 5115| [47] [Watase]
603: 5118| [45] ["But what did you mean by 'become one of us'... No, wait, what do you mean by 'us'?"]
604: 5144| [47] [Ukita]
605: 5147| [45] ["You see, while I work as a researcher for LABO, I am also a member of a certain organization."]
606: 5155| [47] [Watase]
607: 5158| [45] ["What organization?"]
608: 5166| [47] [Ukita]
609: 5169| [45] ["The extremist organization who was arrested for the Great Arson 15 years ago."]
610: 5177| [47] [Ukita]
611: 5180| [45] ["The ones who were branded as criminals instead of Communicator A."]
612: 5203| [47] [Watase]
613: 5206| [45] ["--!"]
614: 5211| [45] [Watase was astonished.]
615: 5219| [47] [Watase]
616: 5222| [45] ["Wait, do you mean... you guys are terrorists!?"]
617: 5248| [47] [Ukita]
618: 5251| [45] ["Terrorists, huh? It's true that those who stand up against authority have been frequently called by that term."]
619: 5259| [47] [Watase]
620: 5262| [45] ["Quit mincing words! What you guys do is commit acts of destruction, plain and simple!"]
621: 5270| [47] [Watase]
622: 5273| [45] ["You're the ones who set up bombs at the PRC before, weren't you!? All you've done is give us that much more work to do--"]
623: 5299| [47] [Ukita]
624: 5302| [45] ["Hold on! It's not like I'm a member of this extremist organization because I want to be!"]
625: 5310| [47] [Ukita]
626: 5313| [45] ["There's just no other organization out there who I can count on to oppose Rokumei City.%NThat's all there is to it."]
627: 5321| [47] [Watase]
628: 5324| [45] ["What...? But can't you just tell the police to..."]
629: 5350| [47] [Ukita]
630: 5353| [45] ["Won't work. Considering the fact that they've been able to keep such a large-scale cover-up running for so long, it's best to assume Rokumei City has the police in their pocket."]
631: 5379| [47] [Ukita]
632: 5382| [45] ["And when you look at how much information control is going on, that leaves the media out of the picture too."]
633: 5408| [47] [Ukita]
634: 5411| [45] ["And before you suggest standing up to them by myself, that's out of the question too. Someone tried that once, and they got murdered in a way that looked like an accident."]
635: 5419| [47] [Ukita]
636: 5422| [45] ["But despite all that, I want to reveal the truth...!"]
637: 5430| [47] [Ukita]
638: 5433| [45] ["I want to bring LABO's wrongdoings to light, even if it means making an enemy of the entire city!"]
639: 5441| [47] [Watase]
640: 5444| [45] ["Wh... why are you going so far!?"]
641: 5470| [47] [Ukita]
642: 5473| [45] ["Much like you, I also have a reason to fight."]
643: 5481| [47] [Ukita]
644: 5484| [45] ["You should understand by now why I told you all this."]
645: 5492| [47] [Ukita]
646: 5495| [45] ["My comrades and I are currently formulating a plan to deal a crippling blow to Rokumei City and LABO."]
647: 5503| [47] [Ukita]
648: 5506| [45] ["And we need your help to carry out this plan."]
649: 5514| [47] [Watase]
650: 5517| [45] ["You need... me?"]
651: 5543| [47] [Ukita]
652: 5546| [45] ["You're free to refuse, of course."]
653: 5572| [47] [Ukita]
654: 5575| [45] ["If you then proceed to go to the police and tell them everything you've just heard, I will most likely be arrested as a terrorist."]
655: 5601| [47] [Ukita]
656: 5604| [45] ["Though perhaps LABO will get to me before the police can, and kill me."]
657: 5612| [47] [Watase]
658: 5615| [45] ["..."]
659: 5641| [47] [Ukita]
660: 5644| [45] ["I'm taking a huge risk by showing you my face and telling you all about my background."]
661: 5652| [47] [Ukita]
662: 5655| [45] ["But I'd like to believe that you'll become one of our comrades..."]
663: 5663| [47] [Ukita]
664: 5666| [45] ["I want to believe that all the things you said about your deceased sister just minutes ago were true."]
665: 5690| [45] [The man then looked Watase dead in the eye.]
666: 5716| [47] [Ukita]
667: 5719| [45] ["You can still turn back now. You can forget everything and return to your normal life."]
668: 5727| [47] [Ukita]
669: 5730| [45] ["But if you want to fight Rokumei City alongside us--"]
670: 5756| [47] [Ukita]
671: 5759| [45] ["Then become one of us."]
672: 5764| [45] [Watase looked the man back in the eye.]
673: 5769| [45] [After a long silence, he finally answered.]
674: 5777| [47] [Watase]
675: 5780| [45] ["... What's the name of your organization?"]
676: 5806| [47] [Ukita]
677: 5809| [45] ["--Q."]
678: 5817| [47] [Ukita]
679: 5820| [45] ["We are the ones who pose the unrelenting questions to this insidious world."]
680: 5852| [45] [--Natsuhiko was shocked about the memory he'd just seen.]
681: 5932| [47] [Natsuhiko]
682: 5933| [45] [(I see... so that's why Watase hates Communicators so much...!)]
683: 5964| [47] [Natsuhiko]
684: 5965| [45] [(And now I know that it was Mr. Ukita who led Watase down the path of evil...!)]
685: 5970| [45] [He'd had his suspicions for a while, but now he knew for sure that Ukita was also a terrorist.]
686: 6034| [47] [Natsuhiko]
687: 6035| [45] [(But... Mr. Ukita and Watase are making a grave misunderstanding.)]
688: 6115| [47] [Natsuhiko]
689: 6116| [45] [(Yuuri was a test subject, but she never turned into a monster!)]
690: 6180| [47] [Natsuhiko]
691: 6181| [45] [(Communicator A may indeed have been a dangerous being--)]
692: 6186| [47] [Natsuhiko]
693: 6187| [45] [(But LABO as it is now isn't creating any monsters!)]
694: 6192| [47] [Natsuhiko]
695: 6193| [45] [(And of course, there's no way in hell that absurd story about them creating biological weapons is true, either...!)]
696: 6198| [45] [Then that meant Watase's descent into terrorism was most likely all based on a misunderstanding.]
697: 6203| [45] [The more of Watase's memories he saw, the stronger the pain in Natsuhiko's heart grew.]
698: 6208| [45] [But he kept on viewing those memories to learn the truth.]
699: 6262| [45] [And so the next memory to appear--]
700: 6267| [45] [--was an event that took place exactly one month later.]
