  0:   90| [45] [――病院跡で、渡瀬に真実を語った男の名は、宇喜多佳司と言った。]
445: 5421| [45] [『同志笠鷺の同僚である、堂島誠二氏・桧山和樹氏を、新たに同志に迎えて欲しい』]
446: 5426| [45] [というものだった。]
447: 5431| [45] [だが自分だけならともかく、同僚までこのテロ計画に巻き込んでいいものだろうか？]
448: 5436| [47] [渡瀬]
449: 5437| [45] [（……あの２人も俺と同じ境遇だ。堂島はあの火災で恋人を失い、桧山は弟を失ったという）]
450: 5442| [47] [渡瀬]
451: 5443| [45] [（だからあいつらも、真実を知れば俺と同じく、鹿鳴市の蛮行に激怒するはずだが……！）]
452: 5496| [45] [――結局渡瀬は迷いの果てに、堂島と桧山に声をかけた。]
453: 5568| [47] [宇喜多]
454: 5571| [45] [「……で、どうだったんだね、君の同僚たちの反応は？」]
455: 5579| [47] [渡瀬]
456: 5582| [45] [「俺と全く同じだったよ……怒りに震え、Ｑに入る事を承諾した」]
457: 5608| [47] [宇喜多]
458: 5611| [45] [「そうか……ならば必要なピースは、これで全て揃ったな」]
459: 5616| [45] [かくして渡瀬たちの計画は、完璧なものとなった。]
460: 5621| [45] [消火器に燃焼剤入りの爆弾を仕込み、人工的に火災を起こす。]
461: 5626| [45] [そしてＷＸ粒子増幅器を暴走させ、被験体を救出し、ケースＮを発令させる。]
462: 5631| [45] [隔壁が閉まったら、施設内に強力な時限爆弾を仕掛け、冷却水の排水パイプから脱出する。]
463: 5636| [45] [そしてその爆弾が爆発すれば――渡瀬たちの犯行の痕跡も、被験体の生死も、全ては爆炎の中に消える。]
464: 5644| [47] [渡瀬]
465: 5647| [45] [「……あとは、実行するだけか」]
466: 5673| [47] [宇喜多]
467: 5676| [45] [「うむ」]
468: 5681| [45] [宇喜多はそう言って、ＰＤＡを取り出した。]
469: 5707| [47] [宇喜多]
470: 5710| [45] [「Ｑからの最後の指示が、この端末に送られてきた。読み上げるぞ」]
471: 5718| [47] [渡瀬]
472: 5721| [45] [「なんて？」]
473: 5747| [47] [宇喜多]
474: 5750| [45] [「――同志笠鷺・同志宇喜多、両名の尽力に感謝する」]
475: 5758| [47] [宇喜多]
476: 5761| [45] [「これより我々は、決行の際に必要となる、爆弾及び武器の準備を行う」]
477: 5770| [47] [宇喜多]
478: 5773| [45] [「消火器に偽装した、燃焼剤入り爆弾１００発、ラボ建屋破壊用爆薬『テトリル』３ｋｇ。護身用拳銃『Ｎｚ７５』３丁」]
479: 5781| [47] [宇喜多]
480: 5784| [45] [「テトリルと拳銃は、レスキュー隊の特殊装備に混ぜ、決行当日に持ち込んでくれ」]
481: 5792| [47] [宇喜多]
482: 5795| [45] [「目標、原子力生物学機構第６研究所。目的は建屋の破壊と、被験体２名の略取」]
483: 5803| [47] [宇喜多]
484: 5806| [45] [「決行はこれより、約１年後――２０３０年９月１６日とする」]
485: 5814| [47] [渡瀬]
486: 5817| [45] [「……鹿鳴市同時多発火災の起きた日か」]
487: 5822| [45] [Ｑのメンバーなら誰にとっても、忌わしい思い出のある日だろう。]
488: 5827| [45] [その日に決行する事には、大きな意味がある。]
489: 5835| [47] [宇喜多]
490: 5838| [45] [「――それまで同志各位は、一層の準備を進める事」]
491: 5847| [47] [宇喜多]
492: 5850| [45] [「格闘技や射撃の訓練等、しておくべき事は無数にある」]
493: 5858| [47] [宇喜多]
494: 5861| [45] [「またこれから１年間、計画を他者に語る事は無論、誰にも心を開いてはいけない」]
495: 5869| [47] [宇喜多]
496: 5872| [45] [「鹿鳴市は無数のコミュニケーターが住む街だ。誰かに心を許せば、心を読まれ、計画が露呈してしまうかもしれない」]
497: 5880| [47] [宇喜多]
498: 5883| [45] [「すでに死した被験体Ａのみならず、コミュニケーターは全て我々とは違う能力を持つ、一種の怪物だ」]
499: 5891| [47] [宇喜多]
500: 5894| [45] [「コミュニケーター全てを、忌むべき存在だと思え。鹿鳴市は怪物だらけの街だと思え」]
501: 5902| [47] [宇喜多]
502: 5905| [45] [「こんな異常な街の歴史は、終わらさなければならないんだ」]
503: 5913| [47] [宇喜多]
504: 5916| [45] [「極端な考え方だと思われるかもしれないが、警戒に警戒を重ねなければ、完璧な計画も瓦解する」]
505: 5924| [47] [宇喜多]
506: 5927| [45] [「以上に留意し、来るべき日を待ってくれたまえ」]
507: 5935| [47] [宇喜多]
508: 5938| [45] [「真実を暴き、亡き１１８名の無念を晴らす日を――」]
509: 5943| [45] [その長い文面を読み終えた宇喜多は、鋭い目線を渡瀬に飛ばした。]
510: 5969| [47] [宇喜多]
511: 5972| [45] [「……ずいぶんと、時代がかった言葉だな？」]
512: 5980| [47] [渡瀬]
513: 5983| [45] [「コミュニケーターは忌むべき存在、か……」]
514: 6009| [47] [宇喜多]
515: 6012| [45] [「それは言いすぎだろうが、心を開いてはいけないのは確かだ」]
516: 6038| [47] [渡瀬]
517: 6041| [45] [「……あぁ、その通りだ」]
518: 6102| [45] [そして渡瀬たちは、長い準備期間に入った。]
519: 6107| [45] [２０３０年の９月まで――]
