  0:  120| [55] [√Before Chapter 6]
513: 5840| [45] ["Someone both you and Salyu know."]
514: 5866| [47] [Salyu]
515: 5869| [45] ["...?"]
516: 5895| [47] [Mashiro]
517: 5898| [45] ["... Ah!"]
518: 5903| [45] [It seemed to finally click for Mashiro when he said that.]
519: 5911| [47] [Natsuhiko]
520: 5914| [45] ["Yeah, when you've been cornered... I guess it really is a hero that you need."]
521: 5919| [45] [And with that, the kids left the school.]
522: 5983| [45] [As they boarded the taxi, the driver asked them,]
523: 5988| [47] [Driver]
524: 5991| [45] ["Where are you headed next?"]
525: 5999| [47] [Natsuhiko]
526: 6002| [45] ["The fire station."]
527: 6007| [45] [The driver nodded and began to input their next destination.]
