  0:   60| [45] [――渡瀬のレスキュー隊員としての生活は続く。]
465: 3776| [45] [「原因の一翼を担うＡは、ラボ内で人体実験に使われ――そして幽閉後、わずか１年で死亡した」]
466: 3784| [47] [？？]
467: 3787| [45] [「恐らく無残な死に方をしたのだろう。Ａもしょせんは、鹿鳴市による悪事の被害者に過ぎないのさ」]
468: 3795| [47] [渡瀬]
469: 3798| [45] [「……っ」]
470: 3803| [45] [渡瀬の体を、虚無感が満たす。]
471: 3808| [45] [憎悪の矛先は即座に失われ――そして別の対象に向けられた。]
472: 3816| [47] [渡瀬]
473: 3819| [45] [「その後、鹿鳴市は……どうしたんだ？」]
474: 3827| [47] [渡瀬]
475: 3830| [45] [「Ａが死に、貴重な被験体を失ったラボは、それからどうしてるんだ？」]
476: 3838| [47] [？？]
477: 3841| [45] [「新たな被験体を拉致しては、ＢＣの研究を続けているよ」]
478: 3849| [47] [？？]
479: 3852| [45] [「この街に住むコミュニケーターたち――その中で特に優れた能力を持つ者は、ラボに幽閉され、被験体にされるのさ」]
480: 3860| [47] [？？]
481: 3863| [45] [「ただ、ＢＣの研究をしたいがために……子供たちが犠牲になっていくんだ」]
482: 3868| [45] [それを聞いた渡瀬の心中に、同情心が湧く。]
483: 3873| [47] [渡瀬]
484: 3874| [45] [（たとえコミュニケーターだとしても、子供が犠牲になるのは……！）]
485: 3879| [45] [とても許せる事ではなかった。]
486: 3887| [47] [？？]
487: 3890| [45] [「だが誰もその事に気付かない。語る者も、暴く者もいない」]
488: 3898| [47] [？？]
489: 3901| [45] [「真実は闇から闇に消え、隠蔽は永遠に続く」]
490: 3909| [47] [渡瀬]
491: 3912| [45] [「……そうか……」]
492: 3920| [47] [渡瀬]
493: 3923| [45] [「亘たちの仇は……鹿鳴市は……」]
494: 3931| [47] [渡瀬]
495: 3934| [45] [「今も１５年前と、同じ事を繰り返してるのか……！」]
496: 3939| [45] [渡瀬の中で、憤怒の炎が燃え始めた。]
497: 3944| [45] [その真っ黒な熱を腹の奥に押し込めながら、渡瀬は問う。]
498: 3952| [47] [渡瀬]
499: 3955| [45] [「なぁ、あんた……俺にこんな事を知らせて、どうするってんだ」]
500: 3963| [47] [渡瀬]
501: 3966| [45] [「俺に何をさせたいんだ……？」]
502: 3974| [47] [？？]
503: 3977| [45] [「逆に聞こう。君はどうしたいのかね？」]
504: 4000| [47] [渡瀬]
505: 4003| [45] [「……っ」]
506: 4011| [47] [？？]
507: 4014| [45] [「笠鷺渡瀬、君の心に聞こう。真実を知った今、偽りの安寧の中に戻れるか？」]
508: 4022| [47] [？？]
509: 4025| [45] [「聞かせてくれ、君の本当の気持ちを」]
510: 4093| [45] [その言葉に、渡瀬の胸がどくんと脈動した。]
511: 4098| [47] [渡瀬]
512: 4099| [45] [（この真実を知ってしまった以上、俺はニコニコといつも通りの生活ができるのか……！？）]
513: 4157| [45] [姉を殺され、両親を殺され、人生を捻じ曲げられ――]
514: 4162| [45] [そのうえ真実を隠され、嘘の中で１５年間生かされてきたのだ。]
515: 4214| [45] [渡瀬は姉の夢を追うことで、犯人への憎悪を、心の隅に押しやっていた。]
516: 4219| [45] [だが、本当はずっと思っていたのだ。]
517: 4237| [47] [渡瀬]
518: 4240| [45] [「……俺は……」]
519: 4248| [47] [渡瀬]
520: 4251| [45] [「……犯人を、亘と同じ目にあわせてやりたかった」]
521: 4259| [47] [？？]
522: 4262| [45] [「亘とは、確か君のお姉さんだったね」]
523: 4270| [47] [渡瀬]
524: 4273| [45] [「……あぁ」]
525: 4356| [47] [渡瀬]
526: 4359| [45] [「あいつは……本当にいい奴だったんだ……」]
527: 4367| [47] [渡瀬]
528: 4370| [45] [「弱っちいけど一生懸命で、バカだけど優しくて……！」]
529: 4386| [45] [そう口にした瞬間、渡瀬の目に涙が溢れ出た。]
530: 4391| [45] [――渡瀬は亘が大好きだった。]
531: 4396| [45] [彼女の命を奪った犯人が、心の底から憎かったのだ。]
532: 4401| [45] [だがその犯人は、鹿鳴市によって存在ごと隠蔽されたという。]
533: 4406| [45] [叶うならばＡを八つ裂きにしたかったが、それももうできない。]
534: 4411| [45] [ならば渡瀬の憎悪と怒りは、鹿鳴市に向けるしか――]
535: 4419| [47] [渡瀬]
536: 4422| [45] [「……なぁ……」]
537: 4430| [47] [渡瀬]
538: 4433| [45] [「復讐を望むのは……恥ずべきことか……？」]
539: 4438| [47] [？？]
540: 4439| [45] [「……」]
541: 4447| [47] [渡瀬]
542: 4450| [45] [「……人の命を救う仕事をしている俺が……そんな事を望んでもいいのか？」]
543: 4458| [47] [渡瀬]
544: 4461| [45] [「俺は、鹿鳴市の連中を憎んでもいいのか？」]
545: 4469| [47] [？？]
546: 4472| [45] [「もちろんだ」]
547: 4477| [45] [渡瀬の問いに、男ははっきりと答えた。]
548: 4485| [47] [？？]
549: 4488| [45] [「家族の仇を憎む……それは人間として自然な事だ」]
550: 4496| [47] [？？]
551: 4499| [45] [「そして、その気持ちがあるのであれば――」]
552: 4507| [47] [？？]
553: 4510| [45] [「君は、僕らの同志になり得る」]
554: 4521| [45] [その時、背後で足音が聞こえた。]
555: 4544| [47] [渡瀬]
556: 4547| [45] [「！！」]
557: 4552| [45] [渡瀬がはっとして振り向くと――]
558: 4576| [45] [男が１人、立っていた。]
559: 4581| [45] [ＰＤＡを手にしているところを見ると、先ほどまで渡瀬が話していた相手だろう。]
560: 4589| [47] [渡瀬]
561: 4592| [45] [「あ、あんたは……！？」]
562: 4600| [47] [宇喜多]
563: 4603| [45] [「僕か？　僕はラボの研究員だ」]
564: 4608| [45] [男はＰＤＡをしまって答える。]
565: 4646| [47] [宇喜多]
566: 4649| [45] [「だが君と同じく、ラボと鹿鳴市を憎む者さ」]
567: 4657| [47] [渡瀬]
568: 4660| [45] [「なに……！？」]
569: 4665| [45] [内部告発者――そんな言葉が、渡瀬の胸をよぎる。]
570: 4670| [45] [さきほどＰＤＡに送られてきた、ラボ内の写真や被験体の資料。]
571: 4675| [45] [それは内部の人間でなければ、手に入らないものだ。]
572: 4683| [47] [渡瀬]
573: 4686| [45] [「だが同志になり得るって……いや、『僕ら』ってのはどういう意味だ？」]
574: 4712| [47] [宇喜多]
575: 4715| [45] [「僕はね、ラボの現役研究員であると同時に、ある団体に所属しているのさ」]
576: 4723| [47] [渡瀬]
577: 4726| [45] [「ある団体だと？」]
578: 4734| [47] [宇喜多]
579: 4737| [45] [「１５年前の同時多発火災の際、逮捕された過激派団体だよ」]
580: 4745| [47] [宇喜多]
581: 4748| [45] [「幽閉されたコミュニケーターＡの代わりに、犯人の汚名を着せられた、ね」]
582: 4771| [47] [渡瀬]
583: 4774| [45] [「――ッ！」]
584: 4779| [45] [渡瀬は愕然とした。]
585: 4787| [47] [渡瀬]
586: 4790| [45] [「まさかあんたら……テロリストか！？」]
587: 4816| [47] [宇喜多]
588: 4819| [45] [「テロリストね。確かに権力に立ち向かう者というのは、しばしばそう呼ばれるな」]
589: 4827| [47] [渡瀬]
590: 4830| [45] [「言葉を飾るな！　お前らのやる事は、しょせんは破壊活動だろう！」]
591: 4838| [47] [渡瀬]
592: 4841| [45] [「超心研に爆弾でも仕掛けるのか！？　そんなのは俺たちの仕事が増えるだけで――」]
593: 4867| [47] [宇喜多]
594: 4870| [45] [「待て！　僕も好き好んで、過激派団体などに所属しているわけではない！」]
595: 4878| [47] [宇喜多]
596: 4881| [45] [「鹿鳴市に対抗するためには、他に頼れる組織が存在しないというだけだ」]
597: 4889| [47] [渡瀬]
598: 4892| [45] [「なに……？　そんなの警察とか、いくらでも……」]
599: 4918| [47] [宇喜多]
600: 4921| [45] [「警察はダメだ。これほどの大規模な隠蔽が行われている以上、警察も鹿鳴市の息がかかっていると考えた方がいい」]
601: 4947| [47] [宇喜多]
602: 4950| [45] [「情報規制が行われているのを見るに、マスコミも全くアテにならん」]
603: 4976| [47] [宇喜多]
604: 4979| [45] [「では個人で立ち向かうか？　不可能だ。かつてそれを試みた者もいたが、事故に見せかけて殺された」]
605: 4987| [47] [宇喜多]
606: 4990| [45] [「それでもなお、僕は真実を明るみに出したい……！」]
607: 4998| [47] [宇喜多]
608: 5001| [45] [「この街の全てを敵に回してでも、ラボの悪事を白日の元にさらしたいんだ！」]
609: 5009| [47] [渡瀬]
610: 5012| [45] [「な……なぜそこまで！？」]
611: 5038| [47] [宇喜多]
612: 5041| [45] [「君にそうする動機があるように、僕にも戦う理由があるのさ」]
613: 5049| [47] [宇喜多]
614: 5052| [45] [「もうわかったろ？　なぜ僕が君にこんな話をしたか」]
615: 5060| [47] [宇喜多]
616: 5063| [45] [「僕らは今、鹿鳴市とラボに、痛烈な打撃を加える計画を練っている」]
617: 5071| [47] [宇喜多]
618: 5074| [45] [「その計画を遂行するにあたって、君の力が欲しいんだ」]
619: 5082| [47] [渡瀬]
620: 5085| [45] [「俺の力……だと？」]
621: 5111| [47] [宇喜多]
622: 5114| [45] [「もちろん断るのは自由だ」]
623: 5140| [47] [宇喜多]
624: 5143| [45] [「そしていま聞いた話を警察にでも言えば、僕はテロリストとして逮捕されるだろう」]
625: 5169| [47] [宇喜多]
626: 5172| [45] [「もっとも警察の前にラボの連中に捕まり、殺されるかもしれんがね」]
627: 5180| [47] [渡瀬]
628: 5183| [45] [「……っ」]
629: 5209| [47] [宇喜多]
630: 5212| [45] [「君に顔を見せ、素性をもさらした事は、僕にとっても賭けだったんだよ」]
631: 5220| [47] [宇喜多]
632: 5223| [45] [「だが僕は、君が同志になってくれると信じたい……」]
633: 5231| [47] [宇喜多]
634: 5234| [45] [「さきほど君が語った、亡きお姉さんに向けた言葉が、本当だと信じたいんだ」]
635: 5258| [45] [男はそう言って、渡瀬を見据えた。]
636: 5284| [47] [宇喜多]
637: 5287| [45] [「今なら君は後戻りできる。全て忘れて、元の生活に戻る事ができる」]
638: 5295| [47] [宇喜多]
639: 5298| [45] [「だが、もし僕らと共に鹿鳴市と戦う気持ちがあるのなら――」]
640: 5324| [47] [宇喜多]
641: 5327| [45] [「同志になってくれ」]
642: 5332| [45] [渡瀬も男を見据えた。]
643: 5337| [45] [長い沈黙の後、言葉を返す。]
644: 5345| [47] [渡瀬]
645: 5348| [45] [「……あんたらの組織の名は？」]
646: 5374| [47] [宇喜多]
647: 5377| [45] [「――Ｑ」]
648: 5385| [47] [宇喜多]
649: 5388| [45] [「この欺瞞に満ちた世界に、厳然たる問いを突きつける者だ」]
